date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1960-04-19,Peñarol,7,1,Jorge Wilstermann,False,False,Group Stage,Copa Libertadores de América,1960
1960-04-30,Jorge Wilstermann,1,1,Peñarol,False,False,Group Stage,Copa Libertadores de América,1960
1960-04-20,San Lorenzo,3,0,Bahia,False,False,Group Stage,Copa Libertadores de América,1960
1960-05-03,Bahia,3,2,San Lorenzo,False,False,Group Stage,Copa Libertadores de América,1960
1960-05-08,Universidad de Chile,0,6,Millonarios,False,False,Group Stage,Copa Libertadores de América,1960
1960-05-15,Millonarios,1,0,Universidad de Chile,False,False,Group Stage,Copa Libertadores de América,1960
1960-05-18,Peñarol,1,1,San Lorenzo,False,False,Semifinal,Copa Libertadores de América,1960
1960-05-24,San Lorenzo,0,0,Peñarol,False,False,Semifinal,Copa Libertadores de América,1960
1960-05-18,Peñarol,2,1,San Lorenzo,False,False,Semifinal,Copa Libertadores de América,1960
1960-05-29,Millonarios,0,0,Olimpia,False,False,Semifinal,Copa Libertadores de América,1960
1960-06-05,Olimpia,5,1,Millonarios,False,False,Semifinal,Copa Libertadores de América,1960
1960-06-12,Peñarol,1,0,Olimpia,False,False,Final,Copa Libertadores de América,1960
1960-06-19,Olimpia,1,1,Peñarol,False,False,Final,Copa Libertadores de América,1960
1961-04-02,Independiente Santa Fe,3,0,Barcelona de Guayaquil,False,False,Group Stage,Copa Libertadores de América,1961
1961-04-09,Barcelona de Guayaquil,2,2,Independiente Santa Fe,False,False,Group Stage,Copa Libertadores de América,1961
1961-04-19,Peñarol,5,0,Universitario,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-05-14,Universitario,2,0,Peñarol,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-04-09,Colo-Colo,2,5,Olimpia,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-04-16,Olimpia,1,2,Colo-Colo,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-04-30,Jorge Wilstermann,3,2,Independiente Santa Fe,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-05-07,Independiente Santa Fe,1,0,Jorge Wilstermann,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-05-04,Independiente,0,2,Palmeiras,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-05-11,Palmeiras,1,0,Independiente,False,False,Quarterfinal,Copa Libertadores de América,1961
1961-05-21,Peñarol,3,1,Olimpia,False,False,Semifinal,Copa Libertadores de América,1961
1961-05-27,Olimpia,1,2,Peñarol,False,False,Semifinal,Copa Libertadores de América,1961
1961-05-21,Independiente Santa Fe,2,2,Palmeiras,False,False,Semifinal,Copa Libertadores de América,1961
1961-05-27,Palmeiras,4,1,Independiente Santa Fe,False,False,Semifinal,Copa Libertadores de América,1961
1961-06-04,Peñarol,1,0,Palmeiras,False,False,Final,Copa Libertadores de América,1961
1961-06-11,Palmeiras,1,1,Peñarol,False,False,Final,Copa Libertadores de América,1961
